,FA,SampleID,ug
1,C12.0,BESFA.23.2.01,0.02
2,C12.0,BESFA.23.2.02,0.03
3,C12.0,BESFA.23.2.03,0.03
4,C12.0,BESFA.23.2.04,<MRL
5,C12.0,BESFA.23.2.05,<MRL
6,C12.0,BESFA.23.2.06,<MRL
7,C12.0,BESFA.23.2.07,0
8,C12.0,BESFA.23.2.08,<MRL
9,C12.0,BESFA.23.2.09,<MRL
10,C12.0,BESFA.23.2.10,<MRL
11,C12.0,BESFA.23.2.11,<MRL
12,C12.0,BESFA.23.2.12,<MRL
13,C12.0,BESFA.23.2.13,<MRL
14,C12.0,BESFA.23.2.14,<MRL
15,C12.0,BESFA.23.2.15,<MRL
16,C14.0,BESFA.23.2.01,0.1
17,C14.0,BESFA.23.2.02,0.1
18,C14.0,BESFA.23.2.03,0.1
19,C14.0,BESFA.23.2.04,<MRL
20,C14.0,BESFA.23.2.05,<MRL
21,C14.0,BESFA.23.2.06,1.5
22,C14.0,BESFA.23.2.07,0.2
23,C14.0,BESFA.23.2.08,<MRL
24,C14.0,BESFA.23.2.09,0.7
25,C14.0,BESFA.23.2.10,0.3
26,C14.0,BESFA.23.2.11,0.2
27,C14.0,BESFA.23.2.12,1
28,C14.0,BESFA.23.2.13,0.4
29,C14.0,BESFA.23.2.14,0.3
30,C14.0,BESFA.23.2.15,0.4
31,C15.0,BESFA.23.2.01,0.04
32,C15.0,BESFA.23.2.02,0.1
33,C15.0,BESFA.23.2.03,0.05
34,C15.0,BESFA.23.2.04,<MRL
35,C15.0,BESFA.23.2.05,<MRL
36,C15.0,BESFA.23.2.06,0.6
37,C15.0,BESFA.23.2.07,0.1
38,C15.0,BESFA.23.2.08,0.1
39,C15.0,BESFA.23.2.09,0.2
40,C15.0,BESFA.23.2.10,0.1
41,C15.0,BESFA.23.2.11,0.1
42,C15.0,BESFA.23.2.12,0.4
43,C15.0,BESFA.23.2.13,0.2
44,C15.0,BESFA.23.2.14,0.1
45,C15.0,BESFA.23.2.15,0.1
46,C16.0,BESFA.23.2.01,8.4
47,C16.0,BESFA.23.2.02,8.3
48,C16.0,BESFA.23.2.03,8.2
49,C16.0,BESFA.23.2.04,10.5
50,C16.0,BESFA.23.2.05,<MRL
51,C16.0,BESFA.23.2.06,30.7
52,C16.0,BESFA.23.2.07,11
53,C16.0,BESFA.23.2.08,9.7
54,C16.0,BESFA.23.2.09,17.2
55,C16.0,BESFA.23.2.10,13.6
56,C16.0,BESFA.23.2.11,<MRL
57,C16.0,BESFA.23.2.12,23.2
58,C16.0,BESFA.23.2.13,15.6
59,C16.0,BESFA.23.2.14,11.9
60,C16.0,BESFA.23.2.15,9.7
61,C16.1n7c,BESFA.23.2.01,<LOD
62,C16.1n7c,BESFA.23.2.02,<LOD
63,C16.1n7c,BESFA.23.2.03,<LOD
64,C16.1n7c,BESFA.23.2.04,<MRL
65,C16.1n7c,BESFA.23.2.05,<MRL
66,C16.1n7c,BESFA.23.2.06,7.3
67,C16.1n7c,BESFA.23.2.07,0.4
68,C16.1n7c,BESFA.23.2.08,0.3
69,C16.1n7c,BESFA.23.2.09,2.5
70,C16.1n7c,BESFA.23.2.10,0.5
71,C16.1n7c,BESFA.23.2.11,0.3
72,C16.1n7c,BESFA.23.2.12,4.4
73,C16.1n7c,BESFA.23.2.13,1.2
74,C16.1n7c,BESFA.23.2.14,0.6
75,C16.1n7c,BESFA.23.2.15,1.3
76,C17.0,BESFA.23.2.01,<LOD
77,C17.0,BESFA.23.2.02,<LOD
78,C17.0,BESFA.23.2.03,<LOD
79,C17.0,BESFA.23.2.04,<MRL
80,C17.0,BESFA.23.2.05,<MRL
81,C17.0,BESFA.23.2.06,0.8
82,C17.0,BESFA.23.2.07,0.1
83,C17.0,BESFA.23.2.08,<MRL
84,C17.0,BESFA.23.2.09,0.4
85,C17.0,BESFA.23.2.10,0.2
86,C17.0,BESFA.23.2.11,<MRL
87,C17.0,BESFA.23.2.12,0.6
88,C17.0,BESFA.23.2.13,0.2
89,C17.0,BESFA.23.2.14,0.2
90,C17.0,BESFA.23.2.15,0.2
91,C17.1n7c,BESFA.23.2.01,<LOD
92,C17.1n7c,BESFA.23.2.02,<LOD
93,C17.1n7c,BESFA.23.2.03,<LOD
94,C17.1n7c,BESFA.23.2.04,<MRL
95,C17.1n7c,BESFA.23.2.05,0.1
96,C17.1n7c,BESFA.23.2.06,0.3
97,C17.1n7c,BESFA.23.2.07,0.1
98,C17.1n7c,BESFA.23.2.08,0.2
99,C17.1n7c,BESFA.23.2.09,0.1
100,C17.1n7c,BESFA.23.2.10,0.1
101,C17.1n7c,BESFA.23.2.11,0.1
