Row,SampleID,Set,Species,Date_sampling,Date_extraction,Type,Tissue,sample_vol_uL,CW_mm,Tag_no_Crab_ID,Sex,Dev,Shell,Chela_Clutch,Haul_Station,Latitude,Longitude,Time_storage_mo,Refract_PPT,Refract_D2020,Notes
1,BESFA.23.3.001,Lab Validation,Carcinus maenas,2023.06.20,2023.06.21,Tissue,HL,200,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,0,NA,NA,
2,BESFA.23.3.002,Lab Validation,Carcinus maenas,2023.06.20,2023.11.29,Tissue,HL,200,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,5,NA,NA,
3,BESFA.23.3.003,Lab Validation,Carcinus maenas,2023.06.20,2023.08.30,DTS,HL,200,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,2,NA,NA,
4,BESFA.23.3.004,Lab Validation,Carcinus maenas,2023.06.20,2023.90.29,DTS,HL,200,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,3,NA,NA,
5,BESFA.23.3.005,Lab Validation,Carcinus maenas,2023.06.20,2023.11.29,DTS,HL,200,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,5,NA,NA,
6,BESFA.23.3.006,Lab Validation,Carcinus maenas,2023.06.20,2023.06.21,Tissue,HP,NA,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,0,NA,NA,
7,BESFA.23.3.007,Lab Validation,Carcinus maenas,2023.06.20,2023.11.29,Tissue,HP,NA,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,5,NA,NA,
8,BESFA.23.3.008,Lab Validation,Carcinus maenas,2023.06.20,2023.08.30,DTS,HP,NA,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,2,NA,NA,
9,BESFA.23.3.009,Lab Validation,Carcinus maenas,2023.06.20,2023.90.29,DTS,HP,NA,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,3,NA,NA,
10,BESFA.23.3.010,Lab Validation,Carcinus maenas,2023.06.20,2023.11.29,DTS,HP,NA,58.2,LV01,M,NA,firm,NA,NA,43.8599,-69.5781,5,NA,NA,
11,BESFA.23.3.011,Lab Validation,Carcinus maenas,2023.06.20,2023.06.21,Tissue,HL,200,67.3,LV02,M,NA,firm,NA,NA,43.8599,-69.5781,0,NA,NA,
12,BESFA.23.3.012,Lab Validation,Carcinus maenas,2023.06.20,2023.11.29,Tissue,HL,200,67.3,LV02,M,NA,firm,NA,NA,43.8599,-69.5781,5,NA,NA,
13,BESFA.23.3.013,Lab Validation,Carcinus maenas,2023.06.20,2023.08.30,DTS,HL,200,67.3,LV02,M,NA,firm,NA,NA,43.8599,-69.5781,2,NA,NA,
14,BESFA.23.3.014,Lab Validation,Carcinus maenas,2023.06.20,2023.90.29,DTS,HL,200,67.3,LV02,M,NA,firm,NA,NA,43.8599,-69.5781,3,NA,NA,
